text,label
"Loan Approval: You've been pre-approved for $20,000. Accept the offer within 24 hours.",1
Job Offer: We need you to process payments. Earn $50 per transaction.,1
"Inheritance Notice: You've inherited $250,000. Contact us immediately to claim your funds.",1
Your transcript request has been processed and will be mailed within 5 business days.,0
System performance improvements deployed. You may notice faster response times.,0
Registration confirmation: You are enrolled in Biology 101 for the fall semester.,0
Benefits enrollment deadline is approaching. Complete your selections by Friday.,0
New feature: Mobile check deposit is now available in our banking app.,0
Lab results are ready. Please call our office to schedule a follow-up appointment.,0
Database backup completed successfully last night. All data is secure.,0
"Legal Settlement: You're entitled to $25,000 class action settlement. Claim today.",1
"Money Transfer Pending: $8,000 awaits your confirmation. Accept the transfer immediately.",1
Target Purchase Alert: $650 charged to your account. Click here to dispute charge.,1
You're our 1000th visitor today! You've won a $500 Amazon gift card. Click to claim.,1
"Insurance Payout: Your claim has been approved for $75,000. Accept payment now.",1
Research opportunity available in the psychology department. Apply by next Friday.,0
Your warranty registration has been confirmed for your recent purchase.,0
Savings goal achieved: You've reached 50% of your target for the year.,0
Updated company policies are available for review on the intranet.,0
Work-from-home policy updates have been posted to the employee portal.,0
The budget proposal has been approved by management. We can proceed with the implementation.,0
Security Update: Your account requires immediate password reset for continued access.,1
Security notice: You recently logged in from a new device. This is just a notification.,0
Your direct deposit has been processed and funds are now available in your account.,0
Security Alert: Suspicious activity detected on your account. Verify your identity immediately.,1
"Compensation Payment: You're entitled to $7,500 compensation. Click here to claim it now.",1
Service appointment confirmed for next Tuesday at 9 AM for your annual maintenance.,0
I wanted to follow up on our discussion about the new marketing strategy.,0
Your monthly statement is now available in your online account. You can download it from the portal.,0
Router Security: Your WiFi has been hacked. Call us to secure your network.,1
Adobe Flash: Critical security update available. Install now to protect your system.,1
Crypto Alert: Your wallet has been compromised. Secure it now with our service.,1
"Best Buy Transaction: $1,200 charged for laptop purchase. Contact us if unauthorized.",1
Grade report: Your midterm grades are now available in the student information system.,0
IRS Warrant: There's a warrant for your arrest. Call this number to resolve.,1
Insurance claim processed: Your recent visit has been approved for coverage.,0
Appointment reminder: Your annual checkup is scheduled for next Tuesday at 10 AM.,0
Project update for Q3: We are on track to meet our deadlines. The next milestone is scheduled for next week.,0
Your debit card order has been processed and will arrive in 7-10 business days.,0
Congratulations! You've won a brand new iPhone 15. Click here to claim your free device now.,1
Team building event scheduled for Friday afternoon in the main conference room.,0
Social Security Suspension: Your number has been suspended due to illegal activity.,1
Easy Money: Earn $200/hour working from home. No experience needed. Apply now.,1
Netflix Account Alert: Suspicious activity detected. Verify your account to continue watching.,1
Apple Support: Your Mac has been compromised. Call us immediately at this number.,1
Security monitoring system updated with latest threat detection capabilities.,0
Internet Provider: Your connection is compromised. Install our security software.,1
